;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región;País Origen;Ciudad Origen;Ciudad Destino;Aerolínea;;;
Norteamérica;Estados Unidos;Fort Lauderdale;Medellín;Spirit Airlines;;;
Caribe y Centroamérica;Guatemala;Ciudad de Guatemala;Bogotá;Avianca;;;
Europa;España;Madrid;Medellín;Avianca;;;
Norteamérica;Estados Unidos;Miami;Cali;Avianca;;;
Caribe y Centroamérica;El Salvador;San Salvador;Bogotá;Avianca;;;
Suramérica;Venezuela;Caracas;Bogotá;Avior Airlines;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;San Andrés;Copa Airlines;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;Bucaramanga;Copa Airlines;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;Medellín;Copa Airlines;;;
Norteamérica;Estados Unidos;Atlanta;Bogotá;Delta Air Lines;;;
Europa;Holanda;Ámsterdam;Bogotá;KLM;;;
Suramérica;Perú;Lima (PE);Cartagena;LATAM;;;
Caribe y Centroamérica;Curazao;Curazao;Bogotá;Avianca;;;
Europa;Reino Unido;Londres;Bogotá;Avianca;;;
Suramérica;Bolivia;La Paz;Bogotá;Avianca;;;
Norteamérica;México;Cancún;Bogotá;Interjet;;;
Norteamérica;México;Ciudad de México;Medellín;Interjet;;;
Norteamérica;Estados Unidos;Fort Lauderdale;Medellín;JetBlue;;;
Norteamérica;Estados Unidos;Orlando;Bogotá;Spirit Airlines;;;
Norteamérica;Estados Unidos;Orlando;Medellín;Spirit Airlines;;;
Norteamérica;Estados Unidos;New York;Bogotá;United Airlines;;;
Norteamérica;Estados Unidos;Houston;Bogotá;United Airlines;;;
Suramérica;Perú;Lima (PE);Cartagena;Viva Air Peru;;;
Norteamérica;México;Ciudad de México;Bogotá;Wingo;;;
Caribe y Centroamérica;Panamá;Balboa;Bogotá;Wingo;;;
Suramérica;Ecuador;Quito;Bogotá;Wingo;;;
Caribe y Centroamérica;Panamá;Balboa;Medellín;Wingo;;;
Caribe y Centroamérica;Panamá;Balboa;Cali;Wingo;;;
Caribe y Centroamérica;República Dominicana;Punta Cana;Bogotá;Wingo;;;
Suramérica;Venezuela;Caracas;Bogotá;Wingo;;;
Caribe y Centroamérica;Cuba;Habana;Bogotá;Wingo;;;
Caribe y Centroamérica;Panamá;Balboa;Cartagena;Wingo;;;
Norteamérica;México;Cancún;Bogotá;Wingo;;;
Suramérica;Curazao;Curazao;Bogotá;Wingo;;;
Caribe y Centroamérica;República Dominicana;Santo Domingo;Bogotá;Wingo;;;
Caribe y Centroamérica;Aruba;Aruba;Bogotá;Wingo;;;
;;;;;Fuente: OAG para la semana del 17 al 23 de junio de 2019.;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
